,user_id,user_email,user_registration_dt,user_city,utm_source,utm_campaign
0,1425,anilidic1822@outlook.com,2020-06-23,Екатеринбург,yandex_direct,gnrl|953233
1,1429,bornagain1847@gmail.com,2020-08-15,Санкт-Петербург,yandex_direct,gnrl|445275
2,1434,engluts2049@yahoo.com,2020-03-07,Новосибирск,yandex_direct,ret|574813
3,1436,hedgehog2019@live.com,2020-09-04,Москва,yandex_direct,gnrl|845242
4,1439,chinook1914@yahoo.com,2020-06-29,Москва,yandex_direct,gnrl|845242
5,1443,snakemouths1913@outlook.com,2020-01-22,Москва,yandex_direct,ret|574813
6,1446,metaluminic1838@gmail.com,2020-02-14,Екатеринбург,,
7,1451,guidage1946@yahoo.com,2020-07-01,Москва,google_ads,lal|487809
8,1453,carambole2027@outlook.com,2020-11-23,Москва,yandex_direct,gnrl|845242
9,1456,syed1827@outlook.com,2020-02-29,Самара,fb,lal|772023
10,1460,climbed1855@protonmail.com,2020-03-06,Санкт-Петербург,fb,lal|772023
11,1465,externity1945@gmail.com,2020-03-12,Санкт-Петербург,fb,lal|772023
12,1469,larcenies1978@live.com,2021-01-03,Санкт-Петербург,google_ads,lal|487809
13,1474,arles1838@gmail.com,2020-02-03,Москва,google_ads,lal|487809
14,1477,blaze2060@protonmail.com,2020-12-01,Омск,yandex_direct,gnrl|326308
15,1482,thumps2055@gmail.com,2020-12-07,Омск,yandex_direct,gnrl|326308
16,1486,socked1859@live.com,2020-02-13,Москва,yandex_direct,gnrl|953233
17,1494,headsmen2057@protonmail.com,2020-12-19,Москва,yandex_direct,gnrl|326308
18,1497,designers1919@outlook.com,2020-01-16,Москва,yandex_direct,gnrl|953233
19,1501,unniceness2032@yahoo.com,2020-06-10,Москва,yandex_direct,ret|574813
20,1506,crista2005@outlook.com,2020-08-01,Санкт-Петербург,yandex_direct,gnrl|445275
21,1510,ballsy1949@yandex.com,2020-01-21,Казань,yandex_direct,gnrl|445275
22,1511,arylate1988@outlook.com,2020-05-17,Москва,vk,lal|727027
23,1515,wingy1831@outlook.com,2020-09-20,Москва,yandex_direct,gnrl|326308
24,1519,apodeictical1922@yandex.com,2020-09-12,Москва,yandex_direct,gnrl|953233
25,1524,hypoergic2022@protonmail.com,2020-09-13,Омск,yandex_direct,gnrl|953233
26,1528,jacanas1903@yahoo.com,2020-05-09,Новосибирск,yandex_direct,gnrl|845242
27,1530,milliweber2015@yahoo.com,2020-05-30,Новосибирск,yandex_direct,ret|574813
28,1531,spiritually1937@gmail.com,2020-05-09,Ростов-на-Дону,fb,gnrl|755263
29,1533,adamant2032@yahoo.com,2020-01-20,Москва,yandex_direct,gnrl|953233
30,1536,fettuccine1886@yahoo.com,2020-07-31,Челябинск,yandex_direct,gnrl|953233
31,1538,protrusile1899@protonmail.com,2020-07-05,Москва,vk,lal|727027
32,1540,exophasic1837@yandex.com,2020-03-13,Москва,vk,lal|727027
33,1544,stele2040@yandex.com,2020-03-31,Санкт-Петербург,yandex_direct,gnrl|445275
34,1549,kentrogon2015@yahoo.com,2020-04-02,Москва,yandex_direct,gnrl|445275
35,1554,animations2024@live.com,2020-04-27,Москва,yandex_direct,ret|574813
36,1555,aphotic1957@gmail.com,2020-05-10,Москва,yandex_direct,gnrl|953233
37,1557,inequality1904@gmail.com,2020-10-20,Новосибирск,yandex_direct,gnrl|845242
38,1557,earrings2066@live.com,2020-02-28,Новосибирск,vk,lal|727027
39,1559,antiquarian1956@yahoo.com,2020-04-25,Челябинск,yandex_direct,gnrl|445275
40,1559,ticky2037@yandex.com,2020-06-16,Нижний Новгород,,
41,1562,aceology2055@live.com,2020-03-28,Москва,yandex_direct,gnrl|326308
42,1565,wimple2054@live.com,2020-05-08,Санкт-Петербург,vk,lal|727027
43,1566,egret1905@yahoo.com,2020-08-16,Санкт-Петербург,yandex_direct,gnrl|445275
44,1569,sylvin1852@yahoo.com,2020-08-21,Новосибирск,yandex_direct,gnrl|445275
45,1569,superstardom2026@outlook.com,2020-02-23,Москва,fb,lal|772023
46,1569,californicus2050@yandex.com,2020-11-11,Москва,yandex_direct,gnrl|845242
47,1569,draughtsman1853@outlook.com,2020-06-22,Нижний Новгород,yandex_direct,gnrl|863656
48,1575,animated1825@outlook.com,2020-07-01,Казань,yandex_direct,gnrl|863656
49,1578,nonslipping2019@protonmail.com,2020-03-19,Москва,yandex_direct,gnrl|326308
50,1579,awave1921@live.com,2020-06-13,Нижний Новгород,fb,lal|772023
51,1580,copyist2045@live.com,2020-06-11,Челябинск,yandex_direct,gnrl|326308
52,1581,overspeculation1986@live.com,2020-12-18,Москва,yandex_direct,gnrl|326308
53,1585,vedism1810@yandex.com,2020-05-22,Москва,google_ads,lal|487809
54,1591,zoroaster1912@gmail.com,2020-05-24,Москва,google_ads,lal|487809
55,1591,koala1905@gmail.com,2020-12-27,Москва,vk,lal|727027
56,1592,chichi1961@live.com,2020-05-31,Екатеринбург,,
57,1599,strutting1946@live.com,2020-04-25,Москва,yandex_direct,gnrl|326308
58,1603,breeds1965@protonmail.com,2020-03-08,Москва,fb,gnrl|755263
